*Date,*Amount,*Payee,*Description,*Reference,AccountCode,TaxType,Notes,MORGAN_ACCOUNT,MORGAN_TAX,MORGAN_NOTES
16/09/2025,-129.23,"Efisolut 0755760689","Card transaction of 129.23 AUD issued by Efisolut 0755760689","",,,"REVIEW - No rule matched",,,
12/09/2025,-47.00,"Repco ALBION","Card transaction of 47.00 AUD issued by Repco ALBION","",,,"REVIEW - No rule matched",,,
11/09/2025,-52.50,"Nosq Pty Ltd KELVIN GROVE","Card transaction of 52.50 AUD issued by Nosq Pty Ltd KELVIN GROVE","",,,"REVIEW - No rule matched",,,
10/09/2025,-49.72,"Efisolut 0755760689","Card transaction of 49.72 AUD issued by Efisolut 0755760689","",,,"REVIEW - No rule matched",,,
09/09/2025,-32.53,"Efisolut 0755760689","Card transaction of 32.53 AUD issued by Efisolut 0755760689","",,,"REVIEW - No rule matched",,,
04/09/2025,-124.95,"Dragon Image Pty Ltd BOWEN HILLS","Card transaction of 124.95 AUD issued by Dragon Image Pty Ltd BOWEN HILLS","",,,"REVIEW - No rule matched",,,
04/09/2025,-104.02,"Next Practice Albion Albion","Card transaction of 104.02 AUD issued by Next Practice Albion Albion","",,,"REVIEW - No rule matched",,,
02/09/2025,-17.15,"Sq *Ozi Yiros Brisbane City","Card transaction of 17.15 AUD issued by Sq *Ozi Yiros Brisbane City","",,,"REVIEW - No rule matched",,,
02/09/2025,-51.82,"Death And Taxes Cockt Brisbane City","Card transaction of 51.82 AUD issued by Death And Taxes Cockt Brisbane City","",,,"REVIEW - No rule matched",,,
02/09/2025,-30.30,"The Elizabeth Theatr BRISBANE CITY","Card transaction of 30.30 AUD issued by The Elizabeth Theatr BRISBANE CITY","",,,"REVIEW - No rule matched",,,
31/08/2025,-4.50,"Sq *Koala Rescue Brisbane Woolloongabba","Card transaction of 4.50 AUD issued by Sq *Koala Rescue Brisbane Woolloongabba","",,,"REVIEW - No rule matched",,,
30/08/2025,-57.90,"Harris Farm Markets Pt WEST END","Card transaction of 57.90 AUD issued by Harris Farm Markets Pt WEST END","",,,"REVIEW - No rule matched",,,
28/08/2025,-104.02,"Next Practice Albion Albion","Card transaction of 104.02 AUD issued by Next Practice Albion Albion","",,,"REVIEW - No rule matched",,,
19/08/2025,-39.49,"Am.saily*Saily London","Card transaction of 25.64 USD issued by Am.saily*Saily London (fee: 0.14 AUD)","",,,"REVIEW - No rule matched",,,
19/08/2025,-0.14,"Am.saily*Saily London","Wise Charges for: CARD-2806246543","",,,"REVIEW - No rule matched",,,
18/08/2025,-47.85,"News Travels EAGLE FARM","Card transaction of 47.85 AUD issued by News Travels EAGLE FARM","",,,"REVIEW - No rule matched",,,
18/08/2025,-23.31,"Airport Retail Group A BRISBANE AIRP","Card transaction of 23.31 AUD issued by Airport Retail Group A BRISBANE AIRP","",,,"REVIEW - No rule matched",,,
18/08/2025,-21.40,"Yiros Shop Newmarket Newmarket","Card transaction of 21.40 AUD issued by Yiros Shop Newmarket Newmarket","",,,"REVIEW - No rule matched",,,
18/08/2025,-62.24,"Uniqlo Chermside Chermside","Card transaction of 62.24 AUD issued by Uniqlo Chermside Chermside","",,,"REVIEW - No rule matched",,,
14/08/2025,-234.80,"Cathaypacair1604558644714 SYDNEY","Card transaction of 234.80 AUD issued by Cathaypacair1604558644714 SYDNEY","",,,"REVIEW - No rule matched",,,
12/08/2025,-11.99,"Sq *Yozo Kelvin Grove","Card transaction of 11.99 AUD issued by Sq *Yozo Kelvin Grove","",,,"REVIEW - No rule matched",,,
12/08/2025,-63.81,"Sp Hero Packaging PYMBLE","Card transaction of 63.81 AUD issued by Sp Hero Packaging PYMBLE","",,,"REVIEW - No rule matched",,,
11/08/2025,-163.70,"Sp Vochlea Music +442032864236","Card transaction of 79.00 GBP issued by Sp Vochlea Music +442032864236","",,,"REVIEW - No rule matched",,,
11/08/2025,-163.68,"Sp Vochlea Music +442032864236","Card transaction of 79.00 GBP issued by Sp Vochlea Music +442032864236","",,,"REVIEW - No rule matched",,,
11/08/2025,-314.97,"Dhl Express Adc Brisbane","Card transaction of 314.97 AUD issued by Dhl Express Adc Brisbane","",,,"REVIEW - No rule matched",,,
09/08/2025,-107.74,"Linkt Brisbane BRISBANE","Card transaction of 107.74 AUD issued by Linkt Brisbane BRISBANE","",,,"REVIEW - No rule matched",,,
06/08/2025,-73.98,"Kogan.com Nu9jkvmp Melbourne","Card transaction of 73.98 AUD issued by Kogan.com Nu9jkvmp Melbourne","",,,"REVIEW - No rule matched",,,
06/08/2025,-41.20,"Five Star Cinemas NEW FARM","Card transaction of 41.20 AUD issued by Five Star Cinemas NEW FARM","",,,"REVIEW - No rule matched",,,
02/08/2025,-59.47,"Zone Fresh Gourmet Mar WINDSOR","Card transaction of 59.47 AUD issued by Zone Fresh Gourmet Mar WINDSOR","",,,"REVIEW - No rule matched",,,
31/07/2025,-138.18,"Casualse 18682286727","Card transaction of 89.09 USD issued by Casualse 18682286727 (fee: 0.48 AUD)","",,,"REVIEW - No rule matched",,,
31/07/2025,-0.48,"Casualse 18682286727","Wise Charges for: CARD-2741309469","",,,"REVIEW - No rule matched",,,
30/07/2025,-22.22,"Zeus Street Greek - W Windsor","Card transaction of 22.22 AUD issued by Zeus Street Greek - W Windsor","",,,"REVIEW - No rule matched",,,
24/07/2025,-0.50,"South Brisbane Station SOUTH BRISBAN","Card transaction of 0.50 AUD issued by South Brisbane Station SOUTH BRISBAN","",,,"REVIEW - No rule matched",,,
23/07/2025,-368.97,"Walter's Steakhouse Brisbane","Card transaction of 368.97 AUD issued by Walter's Steakhouse Brisbane","",,,"REVIEW - No rule matched",,,
14/07/2025,-6.00,"Sq *Noosavillebakery Noosaville","Card transaction of 6.00 AUD issued by Sq *Noosavillebakery Noosaville","",,,"REVIEW - No rule matched",,,
13/07/2025,-19.95,"Mcdonalds Caboolt Nth BURPENGARY","Card transaction of 19.95 AUD issued by Mcdonalds Caboolt Nth BURPENGARY","",,,"REVIEW - No rule matched",,,
07/07/2025,-60.00,"Modi Corporation RED HILL","Card transaction of 60.00 AUD issued by Modi Corporation RED HILL","",,,"REVIEW - No rule matched",,,
06/07/2025,-54.48,"Sp Heapsgood CAULFIELD NOR","Card transaction of 54.48 AUD issued by Sp Heapsgood CAULFIELD NOR","",,,"REVIEW - No rule matched",,,
05/07/2025,-15.80,"Sq *.la Arepa Brava 1800595310","Card transaction of 15.80 AUD issued by Sq *.la Arepa Brava 1800595310","",,,"REVIEW - No rule matched",,,
05/07/2025,-41.20,"Five Star Cinemas NEW FARM","Card transaction of 41.20 AUD issued by Five Star Cinemas NEW FARM","",,,"REVIEW - No rule matched",,,
25/06/2025,-126.00,"Linktree* Linktree COLLINGWOOD","Card transaction of 126.00 AUD issued by Linktree* Linktree COLLINGWOOD","",,,"REVIEW - No rule matched",,,
18/06/2025,-6.10,"Shafston Hotel BRISBANE","Card transaction of 6.10 AUD issued by Shafston Hotel BRISBANE","",,,"REVIEW - No rule matched",,,
